Temps	Canal A
(us)	(V)

-486.38760597	-2.97372400
-486.22760598	-2.97372400
-486.06760598	-2.97372400
-485.90760598	-3.15256200
-485.74760598	-2.97372400
-485.58760598	-2.97372400
-485.42760598	-2.97372400
-485.26760598	-2.97372400
-485.10760598	-2.97372400
-484.94760598	-2.97372400
-484.78760598	-2.97372400
-484.62760599	-2.97372400
-484.46760599	-2.97372400
-484.30760599	-2.97372400
-484.14760599	-2.97372400
-483.98760599	-2.97372400
-483.82760599	-2.97372400
-483.66760599	-2.97372400
-483.50760599	-2.97372400
-483.34760599	-2.97372400
-483.18760599	-2.97372400
-483.02760599	-2.97372400
-482.86760600	-2.97372400
-482.70760600	-2.97372400
-482.54760600	-2.97372400
-482.38760600	-2.97372400
-482.22760600	-2.97372400
-482.06760600	-2.97372400
-481.90760600	-2.97372400
-481.74760600	-2.97372400
-481.58760600	-2.79427500
-481.42760600	-3.15256200
-481.26760601	-2.97372400
-481.10760601	-2.97372400
-480.94760601	-2.97372400
-480.78760601	-2.97372400
-480.62760601	-2.97372400
-480.46760601	-2.79427500
-480.30760601	-2.97372400
-480.14760601	-2.79427500
-479.98760601	-2.97372400
-479.82760601	-2.97372400
-479.66760602	-2.97372400
-479.50760602	-2.97372400
-479.34760602	-2.79427500
-479.18760602	-2.97372400
-479.02760602	-2.97372400
-478.86760602	-2.97372400
-478.70760602	-2.97372400
-478.54760602	-2.79427500
-478.38760602	-2.97372400
-478.22760602	-2.79427500
-478.06760602	-2.97372400
-477.90760603	-2.79427500
-477.74760603	-2.79427500
-477.58760603	-2.79427500
-477.42760603	-2.97372400
-477.26760603	-2.97372400
-477.10760603	-2.79427500
-476.94760603	-2.79427500
-476.78760603	-2.79427500
-476.62760603	-2.97372400
-476.46760603	-2.79427500
-476.30760604	-2.79427500
-476.14760604	-2.79427500
-475.98760604	-2.79427500
-475.82760604	-2.79427500
-475.66760604	-2.79427500
-475.50760604	-2.79427500
-475.34760604	-2.79427500
-475.18760604	-2.97372400
-475.02760604	-2.79427500
-474.86760604	-2.79427500
-474.70760605	-2.79427500
-474.54760605	-2.97372400
-474.38760605	-2.79427500
-474.22760605	-2.79427500
-474.06760605	-2.97372400
-473.90760605	-2.79427500
-473.74760605	-2.79427500
-473.58760605	-2.79427500
-473.42760605	-2.79427500
-473.26760605	-2.79427500
-473.10760606	-2.79427500
-472.94760606	-2.79427500
-472.78760606	-2.79427500
-472.62760606	-2.79427500
-472.46760606	-2.79427500
-472.30760606	-2.79427500
-472.14760606	-2.79427500
-471.98760606	-2.79427500
-471.82760606	-2.79427500
-471.66760606	-2.79427500
-471.50760606	-2.79427500
-471.34760607	-2.79427500
-471.18760607	-2.79427500
-471.02760607	-2.79427500
-470.86760607	-2.79427500
-470.70760607	-2.79427500
-470.54760607	-2.79427500
-470.38760607	-2.79427500
-470.22760607	-2.79427500
-470.06760607	-2.79427500
-469.90760607	-2.79427500
-469.74760608	-2.79427500
-469.58760608	-2.79427500
-469.42760608	-2.79427500
-469.26760608	-2.79427500
-469.10760608	-2.79427500
-468.94760608	-2.79427500
-468.78760608	-2.79427500
-468.62760608	-2.79427500
-468.46760608	-2.79427500
-468.30760608	-2.79427500
-468.14760609	-2.79427500
-467.98760609	-2.79427500
-467.82760609	-2.79427500
-467.66760609	-2.79427500
-467.50760609	-2.79427500
-467.34760609	-2.79427500
-467.18760609	-2.79427500
-467.02760609	-2.79427500
-466.86760609	-2.79427500
-466.70760609	-2.79427500
-466.54760609	-2.79427500
-466.38760610	-2.79427500
-466.22760610	-2.79427500
-466.06760610	1.86223900
-465.90760610	2.04168800
-465.74760610	2.57881400
-465.58760610	6.16168700
-465.42760610	6.51997400
-465.26760610	5.98284900
-465.10760610	7.05710000
-464.94760610	7.23654900
-464.78760611	7.23654900
-464.62760611	7.23654900
-464.46760611	7.23654900
-464.30760611	7.23654900
-464.14760611	7.05710000
-463.98760611	7.05710000
-463.82760611	6.87826200
-463.66760611	6.87826200
-463.50760611	6.87826200
-463.34760611	6.87826200
-463.18760612	6.87826200
-463.02760612	6.87826200
-462.86760612	6.69881300
-462.70760612	6.69881300
-462.54760612	6.69881300
-462.38760612	6.51997400
-462.22760612	6.51997400
-462.06760612	6.51997400
-461.90760612	6.51997400
-461.74760612	6.51997400
-461.58760613	6.34052600
-461.42760613	6.34052600
-461.26760613	6.16168700
-461.10760613	5.26627400
-460.94760613	4.90798700
-460.78760613	4.90798700
-460.62760613	4.72853800
-460.46760613	4.72853800
-460.30760613	4.54969900
-460.14760613	4.37025100
-459.98760613	4.01196300
-459.82760614	3.65367600
-459.66760614	3.47483800
-459.50760614	3.47483800
-459.34760614	3.47483800
-459.18760614	3.29538900
-459.02760614	3.47483800
-458.86760614	3.29538900
-458.70760614	3.29538900
-458.54760614	3.29538900
-458.38760614	3.29538900
-458.22760615	3.29538900
-458.06760615	3.29538900
-457.90760615	3.11655000
-457.74760615	3.29538900
-457.58760615	3.29538900
-457.42760615	3.29538900
-457.26760615	3.11655000
-457.10760615	3.11655000
-456.94760615	3.11655000
-456.78760615	3.11655000
-456.62760616	3.11655000
-456.46760616	3.11655000
-456.30760616	2.93710100
-456.14760616	2.93710100
-455.98760616	2.93710100
-455.82760616	3.11655000
-455.66760616	2.93710100
-455.50760616	2.93710100
-455.34760616	2.93710100
-455.18760616	2.93710100
-455.02760617	2.93710100
-454.86760617	2.93710100
-454.70760617	2.93710100
-454.54760617	2.93710100
-454.38760617	2.93710100
-454.22760617	2.93710100
-454.06760617	2.93710100
-453.90760617	2.93710100
-453.74760617	2.75826300
-453.58760617	2.93710100
-453.42760617	2.93710100
-453.26760618	2.75826300
-453.10760618	2.75826300
-452.94760618	2.75826300
-452.78760618	2.75826300
-452.62760618	2.75826300
-452.46760618	2.75826300
-452.30760618	2.57881400
-452.14760618	2.75826300
-451.98760618	2.57881400
-451.82760618	2.75826300
-451.66760619	2.57881400
-451.50760619	2.75826300
-451.34760619	2.57881400
-451.18760619	2.57881400
-451.02760619	2.57881400
-450.86760619	2.57881400
-450.70760619	2.57881400
-450.54760619	2.57881400
-450.38760619	2.57881400
-450.22760619	2.57881400
-450.06760620	2.57881400
-449.90760620	2.57881400
-449.74760620	2.57881400
-449.58760620	2.57881400
-449.42760620	2.39997600
-449.26760620	2.39997600
-449.10760620	2.57881400
-448.94760620	2.39997600
-448.78760620	2.39997600
-448.62760620	2.39997600
-448.46760620	2.39997600
-448.30760621	2.39997600
-448.14760621	2.39997600
-447.98760621	2.39997600
-447.82760621	2.39997600
-447.66760621	2.39997600
-447.50760621	2.39997600
-447.34760621	2.39997600
-447.18760621	2.39997600
-447.02760621	2.39997600
-446.86760621	2.39997600
-446.70760622	2.39997600
-446.54760622	2.39997600
-446.38760622	2.39997600
-446.22760622	2.39997600
-446.06760622	2.39997600
-445.90760622	2.39997600
-445.74760622	2.22052700
-445.58760622	2.22052700
-445.42760622	2.39997600
-445.26760622	2.39997600
-445.10760623	2.22052700
-444.94760623	2.22052700
-444.78760623	2.22052700
-444.62760623	2.39997600
-444.46760623	2.39997600
-444.30760623	2.22052700
-444.14760623	2.22052700
-443.98760623	2.22052700
-443.82760623	2.22052700
-443.66760623	2.39997600
-443.50760624	2.22052700
-443.34760624	2.22052700
-443.18760624	2.22052700
-443.02760624	2.22052700
-442.86760624	2.22052700
-442.70760624	2.22052700
-442.54760624	2.22052700
-442.38760624	2.22052700
-442.22760624	2.22052700
-442.06760624	2.22052700
-441.90760624	2.22052700
-441.74760625	2.22052700
-441.58760625	2.22052700
-441.42760625	2.22052700
-441.26760625	2.22052700
-441.10760625	2.22052700
-440.94760625	2.22052700
-440.78760625	2.22052700
-440.62760625	2.22052700
-440.46760625	2.22052700
-440.30760625	2.22052700
-440.14760626	2.22052700
-439.98760626	2.22052700
-439.82760626	2.22052700
-439.66760626	2.22052700
-439.50760626	2.22052700
-439.34760626	2.22052700
-439.18760626	2.22052700
-439.02760626	2.22052700
-438.86760626	2.22052700
-438.70760626	2.22052700
-438.54760627	2.22052700
-438.38760627	2.22052700
-438.22760627	2.22052700
-438.06760627	2.22052700
-437.90760627	2.22052700
-437.74760627	2.22052700
-437.58760627	2.22052700
-437.42760627	2.22052700
-437.26760627	2.22052700
-437.10760627	2.22052700
-436.94760627	2.22052700
-436.78760628	2.22052700
-436.62760628	2.22052700
-436.46760628	2.22052700
-436.30760628	2.04168800
-436.14760628	2.22052700
-435.98760628	2.22052700
-435.82760628	2.22052700
-435.66760628	2.04168800
-435.50760628	2.22052700
-435.34760628	2.04168800
-435.18760629	2.04168800
-435.02760629	2.22052700
-434.86760629	2.04168800
-434.70760629	2.22052700
-434.54760629	2.22052700
-434.38760629	2.04168800
-434.22760629	2.04168800
-434.06760629	2.22052700
-433.90760629	2.04168800
-433.74760629	2.04168800
-433.58760630	2.22052700
-433.42760630	2.04168800
-433.26760630	2.04168800
-433.10760630	2.04168800
-432.94760630	2.04168800
-432.78760630	2.04168800
-432.62760630	2.04168800
-432.46760630	2.04168800
-432.30760630	2.04168800
-432.14760630	2.04168800
-431.98760631	2.04168800
